department_id,arrival_month,visit_count,avg_wait_minutes,department_name
1,1,2328,35.33874570446736,Emergency
1,2,2210,35.799095022624435,Emergency
1,3,1899,31.433438651922064,Emergency
1,4,1764,30.43219954648526,Emergency
1,5,1784,30.19349775784753,Emergency
1,6,1779,30.011916807195053,Emergency
1,7,1809,30.502487562189053,Emergency
1,8,1871,30.6381079636558,Emergency
1,9,1828,31.286597374179433,Emergency
1,10,1817,30.079911942762795,Emergency
1,11,1792,30.24927455357143,Emergency
1,12,2390,35.950753138075314,Emergency
2,1,407,26.695085995085993,Cardiology
2,2,360,26.530833333333334,Cardiology
2,3,385,26.293246753246752,Cardiology
2,4,390,26.919743589743593,Cardiology
2,5,429,28.27902097902098,Cardiology
2,6,389,27.553213367609256,Cardiology
2,7,382,27.575130890052357,Cardiology
2,8,343,26.137609329446065,Cardiology
2,9,378,26.26878306878307,Cardiology
2,10,414,27.257246376811594,Cardiology
2,11,375,27.041866666666667,Cardiology
2,12,399,26.7,Cardiology
3,1,335,25.70597014925373,Orthopedics
3,2,318,25.968867924528304,Orthopedics
3,3,335,26.37462686567164,Orthopedics
3,4,338,27.30059171597633,Orthopedics
3,5,334,26.307784431137723,Orthopedics
3,6,330,26.631818181818183,Orthopedics
3,7,317,25.965299684542586,Orthopedics
3,8,305,25.365245901639344,Orthopedics
3,9,351,27.430484330484333,Orthopedics
3,10,335,26.557014925373135,Orthopedics
3,11,302,24.892052980132448,Orthopedics
3,12,359,26.523398328690806,Orthopedics
4,1,394,31.481218274111676,General Surgery
4,2,354,31.535310734463277,General Surgery
4,3,351,31.34102564102564,General Surgery
4,4,348,30.85373563218391,General Surgery
4,5,391,31.637340153452687,General Surgery
4,6,339,31.41209439528024,General Surgery
4,7,375,30.958399999999997,General Surgery
4,8,331,30.73836858006042,General Surgery
4,9,355,30.610985915492957,General Surgery
4,10,339,30.479941002949854,General Surgery
4,11,356,31.446067415730337,General Surgery
4,12,377,32.34297082228117,General Surgery
5,1,494,29.487246963562754,Pediatrics
5,2,413,27.8227602905569,Pediatrics
5,3,479,29.115031315240085,Pediatrics
5,4,455,29.956703296703296,Pediatrics
5,5,451,28.591574279379156,Pediatrics
5,6,407,27.547911547911546,Pediatrics
5,7,399,27.329573934837093,Pediatrics
5,8,432,29.11875,Pediatrics
5,9,450,30.66777777777778,Pediatrics
5,10,467,29.425481798715204,Pediatrics
5,11,466,29.03755364806867,Pediatrics
5,12,456,29.293640350877194,Pediatrics
6,1,525,27.322476190476188,Internal Medicine
6,2,501,27.787824351297406,Internal Medicine
6,3,532,28.169548872180453,Internal Medicine
6,4,486,27.24320987654321,Internal Medicine
6,5,513,27.814035087719297,Internal Medicine
6,6,510,27.926666666666666,Internal Medicine
6,7,432,26.142824074074074,Internal Medicine
6,8,461,26.57418655097614,Internal Medicine
6,9,515,28.16271844660194,Internal Medicine
6,10,513,27.140740740740743,Internal Medicine
6,11,500,27.404400000000003,Internal Medicine
6,12,486,27.254115226337447,Internal Medicine
7,1,348,23.961206896551722,Obstetrics & Gynecology
7,2,291,23.30378006872852,Obstetrics & Gynecology
7,3,321,23.633333333333333,Obstetrics & Gynecology
7,4,324,23.136111111111113,Obstetrics & Gynecology
7,5,307,24.38729641693811,Obstetrics & Gynecology
7,6,310,23.396129032258067,Obstetrics & Gynecology
7,7,274,22.861313868613138,Obstetrics & Gynecology
7,8,267,22.91797752808989,Obstetrics & Gynecology
7,9,278,23.701438848920862,Obstetrics & Gynecology
7,10,281,22.48505338078292,Obstetrics & Gynecology
7,11,295,24.3,Obstetrics & Gynecology
7,12,325,24.916923076923077,Obstetrics & Gynecology
8,1,271,27.751660516605167,Neurology
8,2,268,29.46492537313433,Neurology
8,3,238,27.529411764705884,Neurology
8,4,225,26.93777777777778,Neurology
8,5,261,28.37509578544061,Neurology
8,6,260,28.22653846153846,Neurology
8,7,218,26.520642201834864,Neurology
8,8,222,27.0518018018018,Neurology
8,9,260,27.33076923076923,Neurology
8,10,246,28.041463414634144,Neurology
8,11,262,28.569465648854962,Neurology
8,12,244,27.69672131147541,Neurology
