department_id,arrival_date,shift_type,patient_count,avg_wait_minutes,avg_satisfaction,shift_date,nurses_on_shift,doctors_on_shift,patients_per_nurse,department_name,target_wait_minutes
1,2024-01-01,Afternoon,33,33.05757575757576,3.5757575757575757,2024-01-01,11,3,3.0,Emergency,30
1,2024-01-01,Morning,26,32.36538461538461,3.730769230769231,2024-01-01,9,4,2.888888888888889,Emergency,30
1,2024-01-01,Night,6,18.583333333333332,4.0,2024-01-01,5,2,1.2,Emergency,30
1,2024-01-02,Afternoon,37,37.33783783783784,3.2972972972972974,2024-01-02,10,4,3.7,Emergency,30
1,2024-01-02,Morning,28,34.43571428571429,3.5714285714285716,2024-01-02,9,4,3.111111111111111,Emergency,30
1,2024-01-02,Night,6,19.75,3.6666666666666665,2024-01-02,5,3,1.2,Emergency,30
1,2024-01-03,Afternoon,25,28.928,3.56,2024-01-03,10,4,2.5,Emergency,30
1,2024-01-03,Morning,26,28.076923076923077,3.576923076923077,2024-01-03,11,4,2.3636363636363638,Emergency,30
1,2024-01-03,Night,5,18.92,3.8,2024-01-03,5,2,1.0,Emergency,30
1,2024-01-04,Afternoon,25,28.1,3.68,2024-01-04,11,4,2.272727272727273,Emergency,30
1,2024-01-04,Morning,28,31.960714285714285,3.357142857142857,2024-01-04,10,4,2.8,Emergency,30
1,2024-01-04,Night,9,24.077777777777776,4.0,2024-01-04,5,3,1.8,Emergency,30
1,2024-01-05,Afternoon,38,39.77894736842105,3.5526315789473686,2024-01-05,10,4,3.8,Emergency,30
1,2024-01-05,Morning,36,38.17777777777778,3.388888888888889,2024-01-05,10,4,3.6,Emergency,30
1,2024-01-05,Night,10,22.61,3.6,2024-01-05,5,2,2.0,Emergency,30
1,2024-01-06,Afternoon,42,38.102380952380955,3.2857142857142856,2024-01-06,11,4,3.8181818181818183,Emergency,30
1,2024-01-06,Morning,40,36.43,3.575,2024-01-06,11,4,3.6363636363636362,Emergency,30
1,2024-01-06,Night,10,23.82,3.5,2024-01-06,6,2,1.6666666666666667,Emergency,30
1,2024-01-07,Afternoon,36,34.541666666666664,3.5833333333333335,2024-01-07,11,4,3.272727272727273,Emergency,30
1,2024-01-07,Morning,32,34.278125,3.5,2024-01-07,10,4,3.2,Emergency,30
1,2024-01-07,Night,6,18.75,3.6666666666666665,2024-01-07,4,2,1.5,Emergency,30
1,2024-01-08,Afternoon,33,35.11515151515152,3.4242424242424243,2024-01-08,10,4,3.3,Emergency,30
1,2024-01-08,Morning,33,38.39696969696969,3.272727272727273,2024-01-08,9,4,3.6666666666666665,Emergency,30
1,2024-01-08,Night,4,13.55,4.0,2024-01-08,5,2,0.8,Emergency,30
1,2024-01-09,Afternoon,41,41.821951219512194,3.268292682926829,2024-01-09,10,4,4.1,Emergency,30
1,2024-01-09,Morning,37,39.872972972972974,3.3513513513513513,2024-01-09,9,4,4.111111111111111,Emergency,30
1,2024-01-09,Night,5,19.5,3.8,2024-01-09,6,2,0.8333333333333334,Emergency,30
1,2024-01-10,Afternoon,32,37.778125,3.625,2024-01-10,9,4,3.5555555555555554,Emergency,30
1,2024-01-10,Morning,20,23.93,3.95,2024-01-10,10,4,2.0,Emergency,30
1,2024-01-10,Night,6,22.833333333333332,4.666666666666667,2024-01-10,5,3,1.2,Emergency,30
1,2024-01-11,Afternoon,41,40.50243902439024,3.2439024390243905,2024-01-11,10,3,4.1,Emergency,30
1,2024-01-11,Morning,39,39.65128205128205,3.1794871794871793,2024-01-11,10,4,3.9,Emergency,30
1,2024-01-11,Night,7,26.599999999999998,4.0,2024-01-11,4,2,1.75,Emergency,30
